Clave	Descri
212	ZINACANTEPEC
28233	Ayuntamiento
4641	Novena Regidur°a
4632	Sindicatura Municipal
4633	Primera Regidur°a
4634	Segunda Regidur°a
4635	Tercer Regidur°a
4636	Cuarto Regidur°a
4637	Quinta Regidur°a
4638	Sexta Regidur°a
4639	SÇptima Regidur°a
4640	Octava Regidur°a
4642	DÇcima Regidur°a
4643	DÇcima Primera Regidur°a
4644	DÇcimo Segunda Regidur°a
4645	DÇcimo Tercer Regidur°a
22944	Coordinaci¢n de Log°stica
54697	Direcci¢n de Desarrollo Humano y Bienestar Social
57039	DIRECCI‡N DE TURISMO
57047	Instituto Municipal de la Juventud
28234	Presidencia Municipal
4823	Direcci¢n de Desarrollo Econ¢mico
44462	Organo Interno de Control
4801	Secretar°a Particular
4803	Secretar°a TÇcnica
4808	Coordinaci¢n de Comunicaci¢n Social
4812	Direcci¢n de Obras P£blicas y Desarrollo Urbano
4821	Direcci¢n de Gobierno
4826	Coordinaci¢n Jur°dica
14870	Unidad de Transparencia
22433	Coordinaci¢n Municipal de Protecci¢n Civil
57038	Direcci¢n de Educaci¢n y Cultura
57084	Coordinaci¢n General Municipal de Mejora Regulator
4800	Secretar°a del Ayuntamiento
4807	Tesorer°a Municipal
4810	Direcci¢n de Servicios P£blicos
4813	Direcci¢n de Administraci¢n
4820	Direcci¢n de Medio Ambiente
4824	Direcci¢n de Programas Sociales
4825	Direcci¢n de Seguridad P£blica y Tr†nsito
45743	Secretar°a TÇcnica del Consejo de Seguridad P£blic
4830	Defensor°a Municipal de Derechos Humanos
4833	Instituto Municipal de la Mujer
4650	Contraloria Municipal
4804	Unidad de Informaci¢n, Planeaci¢n, Programaci¢n y 
4811	Direcci¢n de Desarrollo Urbano
4822	Direcci¢n de Educaci¢n, Cultura y Turismo
22435	Instituto Municipal de la Juventud
22432	Direcci¢n de Desarrollo Metropolitano y Movilidad
34665	Instituto de Cultura F°sica y Deporte
58055	DIRECCI‡N 
58057	SUBDIRECCI‡N 
58058	SUBDIRECCI‡N
58064	DEPARTAMENTO 
58065	DEPARTAMENTO 
58066	DEPARTAMENTO 
58074	UNIDAD DE INFORMACI‡N, PLANEACI‡N, PROGRAMACI‡N Y 
58075	CONTRALOR÷A
37386	DIRECCI‡N GENERAL
37387	SUBDIRECCI‡N DE CULTURA F÷SICA Y DEPORTE
37389	DEPARTAMENTO DE ACTIVACI‡N F÷SICA
37390	DEPARTAMENTO DE NATACI‡N
37392	DEPARTAMENTO DE FUTBOL Y BASQUETBOL
37393	DEPARTAMENTO DE CONTABILIDAD Y TESORER÷A
43829	SUBDIRECCI‡N DE ADMINISTRACI‡N Y FINANZAS DEL IMCU
